id_pracownika_pk,data_urodzenia,data_zatrudnienia,pesel
1,1993-09-25,2021-09-18,95824143673
2,2001-01-22,2023-12-31,96395705603
3,1964-01-27,1991-01-20,69819809172
4,1980-04-24,2006-04-18,44510531201
5,1998-05-30,2023-12-31,27748403850
6,1968-01-26,1993-01-19,23500304011
7,1987-03-16,2021-03-07,54824171469
8,1983-07-28,2016-07-19,37327087437
9,1985-08-11,2011-08-05,39018631317
10,1969-07-01,1992-06-25,67251572204
11,1959-02-01,1986-01-25,65468833994
12,1979-09-04,2003-08-29,87236752407
13,1980-03-04,2007-02-26,41406343100
14,1961-11-29,2000-11-19,73073758715
15,1991-06-09,2017-06-02,89383035304
16,1993-09-07,2023-12-31,10280109956
17,1967-06-25,2003-06-16,78828240204
18,1977-08-08,2009-07-31,23050482291
19,1962-01-07,1994-12-30,39624501797
20,1996-11-04,2020-10-29,72890213380
21,1975-11-21,2008-11-12,87336680499
22,1989-09-10,2023-12-31,95356306702
23,1980-06-18,2012-06-10,72470857223
24,1979-09-25,2004-09-18,76928000379
25,1991-10-24,2023-12-31,43350284670
26,1985-04-28,2016-04-20,39272851208
27,1992-07-23,2012-07-18,42691884087
28,1996-09-28,2023-12-31,90158653877
29,2004-04-22,2023-12-31,43061754379
30,1962-01-10,1995-01-02,60284245722
31,1973-09-05,2003-08-29,83143648446
32,1995-08-31,2023-12-31,33999765202
33,1975-03-28,2006-03-20,87739419192
34,1978-05-27,2015-05-18,99673835330
35,1959-01-08,1987-01-01,97771344390
36,1966-11-07,2001-10-29,10940773502
37,1986-11-13,2008-11-07,83963525788
38,1997-08-11,2023-12-31,57166650096
39,1988-01-18,2021-01-09,92066951739
40,1967-02-16,1999-02-08,47115124654
41,2002-08-06,2023-12-31,61720409200
42,1981-01-30,2020-01-21,87570987456
43,1994-06-28,2014-06-23,67978581675
44,1998-02-25,2018-02-20,60283998685
45,1995-07-21,2019-07-15,92834612590
46,1980-06-17,2012-06-09,94327996285
47,2003-12-16,2023-12-31,63524806361
48,1998-06-11,2023-12-31,93182808910
49,1960-06-18,1982-06-13,24518343887
50,1995-10-16,2023-12-31,64302933060
51,1969-08-24,2005-08-15,17995985837
52,1966-01-01,1990-12-26,21093085122
53,1990-04-28,2017-04-21,10727179603
54,1980-12-20,2018-12-11,32585783833
55,1979-11-09,2004-11-02,23207474473
56,1989-06-04,2023-12-31,87853039748
57,2004-08-12,2023-12-31,16408768273
58,1960-09-16,1994-09-08,87633673131
59,1995-02-01,2015-01-27,89615744417
60,1975-05-17,1996-05-11,54720497170
61,2004-12-15,2023-12-31,21945855538
62,1977-03-02,2014-02-21,42165341896
63,1976-06-27,2001-06-21,81327607292
64,2001-03-18,2023-12-31,81128879736
65,1975-09-05,2007-08-28,86043464326
