id_pracownika_pk,data_urodzenia,data_zatrudnienia,pesel
1,1989-07-13,2023-12-31,14026262215
2,1980-12-09,2007-12-03,42780713595
3,2004-04-06,2023-12-31,15924822331
4,1969-11-01,2009-10-22,25145694153
5,1973-12-02,2004-11-24,20707989154
6,1991-06-14,2012-06-08,23190691042
7,2000-12-07,2023-12-31,52852885011
8,1995-01-20,2016-01-15,15059670398
9,1959-02-13,1998-02-03,52915804555
10,1959-04-04,1994-03-26,53104787751
11,1982-08-29,2019-08-20,19596247746
12,1964-04-27,1985-04-22,78028858650
13,1971-10-29,2008-10-19,93417511801
14,1980-09-15,2015-09-07,91556731334
15,1991-06-01,2022-05-24,64754723617
16,1982-03-10,2005-03-04,32291962859
17,1976-01-28,2007-01-20,51975352690
18,1972-06-06,2002-05-30,34195252521
19,1959-03-17,1995-03-08,56762190777
20,1983-11-04,2020-10-25,39750271727
21,1972-07-04,1992-06-29,68372878985
22,1970-08-25,1998-08-18,71682169994
23,1969-12-07,2002-11-29,37028618836
24,1960-10-19,1998-10-10,72107399602
25,1966-04-11,2005-04-01,77045656691
26,1976-01-02,2008-12-24,49063322512
27,2001-10-10,2023-10-05,17734180099
28,1976-08-31,2015-08-22,67224531387
29,1986-07-03,2019-06-25,68743922199
30,1985-10-07,2012-09-30,38468908552
31,1978-07-01,1999-06-26,86215929962
32,1960-02-03,1985-01-27,40172908474
33,1976-05-23,2002-05-17,35223789694
34,1959-08-08,1979-08-03,21812886803
35,1993-09-15,2023-12-31,53755905842
36,1976-10-20,2005-10-13,15147062965
37,1974-03-19,2003-03-12,73231584121
38,1983-10-04,2004-09-28,92069397900
39,1995-12-16,2023-12-31,53046364334
40,1977-01-14,2001-01-08,24412425834
41,1997-01-07,2023-12-31,51556159834
42,1992-05-10,2013-05-05,66984089816
43,2004-02-20,2023-12-31,97391688791
44,1970-04-23,1997-04-16,47060297458
45,1988-03-23,2023-12-31,89058424981
46,1982-02-16,2004-02-11,46311979160
47,1964-04-05,1996-03-28,74775315426
48,1986-08-15,2014-08-08,81988115490
49,1963-05-27,1983-05-22,88199498911
50,1959-09-08,1986-09-01,38808008211
