id_pracownika_pk,imie_pracownika,Nazwisko_pracownika,data_zatrudnienia,data_urodzenia,Plec,pesel,szef,edukacja
1,Tara,Parks,2018-09-21,1980-09-30,F,83022758518,,srednie
2,Troy,Thomas,1993-03-13,1958-03-22,M,84491724305,,srednie
3,James,Bean,2023-12-31,1996-11-07,M,49202474821,2,srednie
4,Luis,Duncan,2023-12-31,2001-09-17,M,57500750412,2,wyzsze
5,Holly,Rivera,2020-12-08,1983-12-18,F,17837404478,1,wyzsze
6,Angela,Ramos,1992-10-31,1965-11-07,M,65105594571,1,podstawowe
7,Tanya,Ramos,2023-12-31,1994-09-01,F,40021765214,2,srednie
8,Scott,Cook,1997-01-23,1962-02-01,F,92224860290,1,podstawowe
9,Melissa,Green,2023-12-31,1994-07-06,F,53679670733,1,srednie
10,Ashley,Novak,2011-10-11,1978-10-19,M,45046540143,2,srednie
11,Andrzej,Konopski,2021-11-31,1991-05-06,F,12642187463,1,wyzsze
12,Mariola,Widelec,2012-09-11,1976-04-19,M,92340830729,2,podstawowe
13,Angela,Ramos,1992-10-31,1965-11-07,M,65105594571,1,srednie
14,Scott,Cook,1997-01-23,1962-02-01,F,92224860290,1,wyzsze
