id_pracownika_pk,imie_pracownika,Nazwisko_pracownika,data_zatrudnienia,data_urodzenia,Plec,pesel,szef,edukacja
1,Cheryl,Luna,1991-09-23,1968-09-28,M,30950062239,-1,podstawowe
2,Adam,Hawkins,1995-03-14,1969-03-20,F,52081915803,-1,podstawowe
3,Natasha,Smith,2003-01-21,1964-01-31,M,23243599769,-1,srednie
4,James,Mitchell,2007-04-19,1974-04-27,M,83994255637,-1,srednie
5,Todd,Rodriguez,2019-11-25,1981-12-04,M,77801470133,-1,wyzsze
6,Patricia,Steele,2000-01-24,1976-01-30,F,53794790322,2,wyzsze
7,Darrell,Brown,2023-12-31,2004-07-26,F,41369837956,1,wyzsze
8,Shawn,Cooper,1994-06-14,1970-06-20,M,81697389841,5,podstawowe
9,Elizabeth,Wilkins,2023-12-31,2002-07-06,M,40570436479,3,podstawowe
10,Maria,Lee,2023-12-31,1993-09-11,F,62393125579,1,wyzsze
11,Aaron,Williams,2012-04-28,1988-05-04,F,47047849402,2,podstawowe
12,Charles,Williams,1995-05-23,1967-05-30,M,11513666610,4,wyzsze
13,Desiree,Weber,2023-12-31,1995-08-02,F,85721441710,3,srednie
14,Adam,Frey,1997-04-26,1976-05-01,F,53543440917,5,wyzsze
15,Roy,Hunt,2023-11-10,1997-11-16,F,26172496468,1,srednie
16,Rebecca,Lyons,2009-09-05,1972-09-14,F,76355827392,3,srednie
17,Darrell,Johnson,2002-05-31,1963-06-10,F,85793568768,2,srednie
18,Aaron,White,2015-12-19,1993-12-24,M,81900808479,3,srednie
19,Diana,Taylor,1985-05-10,1965-05-15,F,49608615067,1,wyzsze
20,Sergio,Brown,1993-07-23,1961-07-31,F,77193252207,2,srednie
21,Mary,Newman,1998-08-30,1965-09-07,M,34552942994,5,srednie
22,Sierra,Johnson,2023-12-31,1993-07-15,M,90971548928,1,wyzsze
23,Charlene,Cameron,2012-04-18,1992-04-23,M,25847835217,1,wyzsze
24,Carolyn,Leonard,2004-02-10,1977-02-16,F,42880152935,2,srednie
25,Debra,Palmer,2006-01-25,1984-01-31,F,97681226053,1,podstawowe
26,David,Carter,2006-08-09,1979-08-16,F,29451742572,2,podstawowe
27,Maria,Rollins,2006-11-29,1975-12-07,F,74117621771,3,srednie
28,Daniel,Daniels,2023-12-31,1994-11-06,M,80836617560,1,podstawowe
29,Jason,Miller,2016-11-11,1978-11-21,F,93978426711,4,srednie
30,April,Hill,1983-06-24,1960-06-29,M,98035262190,1,wyzsze
31,Natalie,Taylor,2006-12-24,1974-01-01,M,26990588556,5,podstawowe
32,Jody,Francis,2023-12-31,2004-07-19,M,93258252829,3,srednie
33,Cody,Flores,2013-05-02,1980-05-10,M,27008960593,2,wyzsze
34,Cody,Jones,2001-07-08,1964-07-17,F,82752618695,4,wyzsze
35,Arthur,Nelson,2016-09-24,1995-09-30,M,32870032532,4,podstawowe
36,Daniel,Mcdonald,2016-07-29,1991-08-05,M,50370459811,3,srednie
37,Alicia,Hinton,2021-05-30,1983-06-09,M,89237880267,1,podstawowe
38,James,Hart,1985-09-03,1961-09-09,M,75882448811,2,srednie
39,Joseph,Wang,2004-01-31,1964-02-10,M,29392769112,1,srednie
40,Eric,Lee,2023-12-31,1998-09-26,M,41541185419,5,srednie
41,Patrick,Lester,2007-05-24,1975-06-01,F,18338407479,1,srednie
42,Ashley,Hutchinson,1999-08-16,1977-08-21,M,97535955879,4,wyzsze
43,Deborah,Carr,1992-09-10,1972-09-15,M,64982701308,5,wyzsze
44,Kristen,Rogers,2023-12-31,1995-08-29,M,69321001185,2,srednie
45,Sheila,Hoover,2012-09-11,1986-09-18,M,90180496445,2,podstawowe
46,Jenny,Lopez,2012-12-17,1976-12-26,M,56212483346,2,podstawowe
47,Timothy,Malone,2023-12-31,1988-02-03,F,76570292583,2,srednie
48,Jonathan,Raymond,2023-12-31,2002-07-24,M,41963716149,2,podstawowe
49,James,Miller,2000-09-05,1973-09-12,M,77586853699,4,srednie
50,Brandy,Brewer,2021-02-23,1985-03-04,F,81773695849,3,srednie
