id_pracownika_pk,imie_pracownika,Nazwisko_pracownika,data_zatrudnienia,data_urodzenia,Plec,pesel,szef,edukacja
1,Martin,Blanchard,2023-12-31,1989-07-13,M,14026262215,-1,podstawowe
2,Linda,Snyder,2007-12-03,1980-12-09,M,42780713595,-1,wyzsze
3,Daniel,Klein,2023-12-31,2004-04-06,M,15924822331,-1,wyzsze
4,David,Copeland,2009-10-22,1969-11-01,F,25145694153,-1,wyzsze
5,Scott,Gordon,2004-11-24,1973-12-02,F,20707989154,-1,wyzsze
6,Ashley,Sharp,2012-06-08,1991-06-14,M,23190691042,2,srednie
7,Morgan,Jackson,2023-12-31,2000-12-07,F,52852885011,1,srednie
8,Jessica,Graham,2016-01-15,1995-01-20,M,15059670398,4,wyzsze
9,Timothy,Webb,1998-02-03,1959-02-13,M,52915804555,3,srednie
10,Kyle,Lawrence,1994-03-26,1959-04-04,F,53104787751,1,wyzsze
11,Cheyenne,Nelson,2019-08-20,1982-08-29,M,19596247746,4,wyzsze
12,Robert,Donaldson,1985-04-22,1964-04-27,F,78028858650,3,srednie
13,Laura,Lee,2008-10-19,1971-10-29,F,93417511801,2,podstawowe
14,Dalton,Harris,2015-09-07,1980-09-15,M,91556731334,1,wyzsze
15,Mary,Gonzalez,2022-05-24,1991-06-01,M,64754723617,4,wyzsze
16,Dawn,Barr,2005-03-04,1982-03-10,F,32291962859,1,wyzsze
17,Nicole,Taylor,2007-01-20,1976-01-28,F,51975352690,2,wyzsze
18,Alison,Flynn,2002-05-30,1972-06-06,M,34195252521,1,srednie
19,Steven,Travis,1995-03-08,1959-03-17,M,56762190777,4,srednie
20,Jennifer,Baird,2020-10-25,1983-11-04,F,39750271727,5,wyzsze
21,Angela,Ray,1992-06-29,1972-07-04,M,68372878985,2,podstawowe
22,Amanda,Leblanc,1998-08-18,1970-08-25,F,71682169994,2,podstawowe
23,Jennifer,Tucker,2002-11-29,1969-12-07,F,37028618836,2,wyzsze
24,Jonathan,Anderson,1998-10-10,1960-10-19,M,72107399602,5,wyzsze
25,Tyler,Carlson,2005-04-01,1966-04-11,F,77045656691,2,wyzsze
26,Linda,Curry,2008-12-24,1976-01-02,M,49063322512,3,wyzsze
27,Francisco,Green,2023-10-05,2001-10-10,M,17734180099,1,wyzsze
28,Paul,Green,2015-08-22,1976-08-31,F,67224531387,2,srednie
29,Aaron,Bailey,2019-06-25,1986-07-03,M,68743922199,3,podstawowe
30,Robert,Sherman,2012-09-30,1985-10-07,M,38468908552,2,wyzsze
31,Pamela,Daniel,1999-06-26,1978-07-01,F,86215929962,5,wyzsze
32,Daniel,Yates,1985-01-27,1960-02-03,M,40172908474,1,srednie
33,Brian,Mccall,2002-05-17,1976-05-23,F,35223789694,5,wyzsze
34,Antonio,Allen,1979-08-03,1959-08-08,M,21812886803,4,wyzsze
35,Alexis,Rodriguez,2023-12-31,1993-09-15,M,53755905842,3,podstawowe
36,Thomas,Nguyen,2005-10-13,1976-10-20,M,15147062965,4,srednie
37,Mary,Crawford,2003-03-12,1974-03-19,M,73231584121,4,podstawowe
38,Jon,Hill,2004-09-28,1983-10-04,F,92069397900,1,srednie
39,Carol,Martin,2023-12-31,1995-12-16,F,53046364334,2,wyzsze
40,Jeffrey,Adams,2001-01-08,1977-01-14,F,24412425834,1,wyzsze
41,Ashley,Fox,2023-12-31,1997-01-07,M,51556159834,3,wyzsze
42,Caleb,Hale,2013-05-05,1992-05-10,M,66984089816,5,wyzsze
43,Brandon,Williams,2023-12-31,2004-02-20,M,97391688791,4,wyzsze
44,Colin,Johnson,1997-04-16,1970-04-23,F,47060297458,3,wyzsze
45,Richard,Gibson,2023-12-31,1988-03-23,M,89058424981,2,wyzsze
46,Debra,Sanchez,2004-02-11,1982-02-16,F,46311979160,5,wyzsze
47,Jesse,Wilson,1996-03-28,1964-04-05,M,74775315426,2,podstawowe
48,Alex,Sanchez,2014-08-08,1986-08-15,M,81988115490,2,wyzsze
49,Gerald,Jenkins,1983-05-22,1963-05-27,F,88199498911,4,podstawowe
50,Todd,Lewis,1986-09-01,1959-09-08,M,38808008211,1,wyzsze
51,Jerry,Long,2023-12-31,2005-05-19,F,85839670265,4,srednie
52,Elizabeth,Peters,2006-03-11,1979-03-18,M,73041448833,5,wyzsze
53,Willie,Carroll,1987-08-23,1960-08-29,M,81146769706,3,podstawowe
54,Matthew,Potter,2023-12-31,1995-07-04,F,44170440808,2,wyzsze
55,Gregory,Cordova,1999-07-20,1970-07-27,F,66564646535,2,wyzsze
56,Kathleen,Whitaker,2000-01-23,1972-01-30,M,77454080813,1,podstawowe
57,Sean,Hughes,2023-12-31,1985-08-09,F,78147814267,5,podstawowe
58,Annette,Wise,1996-08-12,1966-08-20,M,67831042421,2,wyzsze
59,Crystal,Rios,2021-01-07,1981-01-17,F,72225939275,3,srednie
60,David,Moreno,2004-05-04,1981-05-10,M,57310361844,2,wyzsze
61,Matthew,Martinez,2023-12-08,1991-12-16,M,62933078238,5,wyzsze
62,Virginia,Morales,2000-11-23,1968-12-01,M,32248785337,5,wyzsze
63,James,Walton,1989-09-09,1960-09-16,M,46889552973,1,wyzsze
64,Ashley,Bonilla,2014-01-24,1974-02-03,M,13942578438,1,podstawowe
65,Michael,Davies,2012-12-13,1989-12-19,M,53375112120,2,srednie
