id_pracownika_pk,data_urodzenia,data_zatrudnienia,pesel
1,1974-11-24,1998-11-18,76932390282
2,1960-05-15,1984-05-09,23840076895
3,1969-09-21,1993-09-15,90098187109
4,1967-01-10,1998-01-02,34853797052
5,1962-08-14,2001-08-04,79197151375
6,1982-06-28,2022-06-18,14565262670
7,1959-06-09,1985-06-02,49758222082
8,1980-12-23,2020-12-13,91332587844
9,1997-04-13,2020-04-07,78977563321
10,1979-04-05,2014-03-27,86936310915
11,1991-03-28,2020-03-20,86944970639
12,1991-01-18,2023-01-10,56120653095
13,1993-11-28,2016-11-22,79772282978
14,1960-05-08,1981-05-03,14663862405
15,1963-11-21,1992-11-13,58337635292
16,1989-03-02,2010-02-25,43615531310
17,1992-07-15,2023-12-31,61345447904
18,1973-01-04,2005-12-27,40719891735
19,1969-01-01,2004-12-23,45233005081
20,1966-03-10,1994-03-03,55921283558
21,1996-01-13,2016-01-08,88617911014
22,2001-10-26,2023-12-31,35990024812
23,1964-05-12,1992-05-05,68591063123
24,1969-08-08,2007-07-30,93974331896
25,1971-05-17,2004-05-08,21176042422
26,1995-01-14,2023-12-31,47415995691
27,1959-08-02,1988-07-25,76464183095
28,1998-11-29,2023-12-31,37780452523
29,1998-02-28,2023-12-31,16252497072
30,1982-10-18,2007-10-12,67003438734
31,2003-06-08,2023-12-31,90259429842
32,1962-12-14,1996-12-05,45129132461
33,1988-01-09,2020-12-31,11446883955
34,2005-09-22,2023-12-31,71447088995
35,2001-04-20,2023-12-31,70665223615
36,1966-11-13,2006-11-03,70674716260
37,1973-08-29,2002-08-22,64080070475
38,1986-04-15,2015-04-08,87040397062
39,1966-08-28,1994-08-21,36380647201
40,1976-09-25,1998-09-20,62991281240
41,1958-10-29,1990-10-21,70630000815
42,1959-08-12,1985-08-05,72082941480
43,1981-03-07,2006-03-01,80179487022
44,1984-03-23,2010-03-17,84637895352
45,1992-02-28,2017-02-21,95582062285
46,1998-12-10,2023-12-31,48571622871
47,1985-02-24,2013-02-17,28072755567
48,1976-08-19,2004-08-12,32987380378
49,1977-03-13,2013-03-04,44356580109
50,1959-09-14,1990-09-06,48730581096
51,1977-04-08,2000-04-02,97513006222
52,1960-06-07,1983-06-02,21247227680
53,1962-01-27,1995-01-19,31956066701
54,1967-12-30,1993-12-23,85845716870
55,1962-07-01,1994-06-23,97299057132
56,1976-04-24,2009-04-16,37301367348
57,1961-10-20,2001-10-10,71252670988
58,1972-07-27,2009-07-18,99375051939
59,2004-12-23,2023-12-31,74123930084
60,1963-02-10,1993-02-02,34437233673
61,1991-08-27,2023-12-31,58621968060
62,1963-09-03,2002-08-24,52117125822
63,1986-06-09,2017-06-01,91777064004
64,1981-09-30,2011-09-23,76024834748
65,1958-05-03,1993-04-24,30704852541
