id_pracownika_pk,data_urodzenia,data_zatrudnienia,pesel
1,1971-03-27,2003-03-19,68987578545
2,1966-01-30,1988-01-25,92292078155
3,1977-12-08,2001-12-02,50141918514
4,1967-09-28,2000-09-19,23072888632
5,1966-06-22,2006-06-12,65496925389
6,1981-03-14,2004-03-08,32727125905
7,1984-10-07,2016-09-29,50956782484
8,2003-03-15,2023-12-31,50470404260
9,1959-10-01,1994-09-22,81246043089
10,1965-09-06,1998-08-29,98979490296
11,2000-04-23,2021-04-18,13438892152
12,1982-11-08,2002-11-03,71321773010
13,1996-03-17,2023-12-31,20189185848
14,1960-08-05,1996-07-27,59134764617
15,1972-04-23,2004-04-15,51114526432
16,1966-10-07,2000-09-28,78848682260
17,1963-08-29,1998-08-20,10345972027
18,1990-10-19,2023-10-11,27871842835
19,2003-04-08,2023-12-31,82060100103
20,2005-06-06,2023-12-31,27957022631
21,1978-02-04,2006-01-28,57456505809
22,1996-10-03,2023-12-31,54568212031
23,1995-10-11,2023-12-31,15641476317
24,1961-03-07,1996-02-27,35064634943
25,1970-12-19,1999-12-12,74910865832
26,1968-01-02,1988-12-27,90751672765
27,1977-08-10,2012-08-01,91545690702
28,1997-09-05,2020-08-30,62905030735
29,1987-04-13,2023-12-31,58428660602
30,1981-02-19,2020-02-10,78012523976
31,2004-08-05,2023-12-31,79817557162
32,1999-01-17,2023-01-11,96910793999
33,1964-05-07,1991-05-01,23418106033
34,1978-09-29,2007-09-22,93058000411
35,1972-08-12,1995-08-07,77042147410
36,1964-03-31,1992-03-24,28866954319
37,1983-12-15,2017-12-06,47901470059
38,1968-06-20,2002-06-12,71517808099
39,1969-06-12,2002-06-04,78426715840
40,1988-07-15,2008-07-10,78742821369
41,1972-09-23,1992-09-18,75867617412
42,2000-05-06,2023-12-31,25045440407
43,1986-12-09,2017-12-01,14226277862
44,1985-08-15,2014-08-08,65912015595
45,1967-10-02,2006-09-22,49601824334
46,1997-06-15,2021-06-09,27023393630
47,2004-10-15,2023-12-31,88173423850
48,2000-10-06,2023-12-31,83405918129
49,1962-12-10,2002-11-30,84773386123
50,2004-04-21,2023-12-31,24088932595
