id_pracownika_pk,imie_pracownika,Nazwisko_pracownika,data_zatrudnienia,data_urodzenia,Plec,pesel,szef,edukacja
1,Jeffery,Gomez,2021-02-27,1986-03-08,M,95356440046,-1,wyzsze
2,Susan,White,2006-01-11,1968-01-21,M,43731663820,-1,wyzsze
3,Kenneth,Moran,2023-12-31,1998-04-17,F,16951609405,-1,wyzsze
4,Deborah,Powers,1987-10-14,1959-10-21,F,68519156092,-1,podstawowe
5,Julia,Jones,2010-09-12,1973-09-21,F,11319854419,-1,podstawowe
6,Katherine,Hill,2023-12-31,2005-07-02,F,11829870514,3,wyzsze
7,Tyler,Johnson,2001-10-13,1971-10-21,F,26353003517,4,podstawowe
8,Vincent,Martin,2016-03-18,1978-03-28,F,94519490822,1,wyzsze
9,Michael,Ellis,1990-08-23,1967-08-29,F,58288235542,5,srednie
10,James,Cameron,2023-12-31,1990-03-09,F,40399201022,4,srednie
11,Kimberly,Stephens,1999-08-02,1965-08-10,M,11637526580,4,wyzsze
12,Charles,Gutierrez,1989-10-18,1962-10-25,M,77068597049,3,podstawowe
13,John,Allen,2023-12-31,2000-01-31,M,59856925147,4,wyzsze
14,Vicki,Carter,2020-05-15,1988-05-23,M,12495004686,4,wyzsze
15,Caleb,Figueroa,2021-11-01,1991-11-09,M,92782000031,1,wyzsze
16,Jonathan,Day,2004-03-13,1964-03-23,M,27575150114,1,srednie
17,Mariah,Huynh,2019-12-12,1996-12-17,M,43798259257,4,srednie
18,Nathan,Farrell,2023-12-31,2001-04-27,M,91978241281,5,podstawowe
19,Kristen,Phillips,1991-03-16,1961-03-23,M,40144353576,4,wyzsze
20,Ashlee,Jensen,2023-12-31,2000-08-02,M,85386136788,5,srednie
21,Robert,Drake,2023-12-31,2003-07-26,M,88844719516,3,podstawowe
22,Carrie,Singh,2008-07-06,1979-07-14,F,80472941424,3,podstawowe
23,John,Mcdonald,1995-08-13,1958-08-22,M,84139446861,2,wyzsze
24,Jacob,Williams,2004-06-13,1984-06-18,M,53021331300,1,srednie
25,John,Bright,2022-08-13,1994-08-20,F,21990837391,1,wyzsze
26,Michelle,Hensley,2003-01-03,1970-01-11,F,39042365927,4,wyzsze
27,Bianca,Hill,1997-05-13,1972-05-19,F,53222440712,4,wyzsze
28,Justin,Ruiz,1997-03-19,1962-03-28,M,55226044560,4,srednie
29,Kaitlyn,Johnson,2021-02-06,1991-02-14,F,62853201792,4,podstawowe
30,Manuel,Clark,1989-01-08,1964-01-15,F,47798153788,1,wyzsze
31,Brian,Avila,1980-01-05,1958-01-10,F,40273663923,1,srednie
32,Todd,Kidd,2010-11-24,1981-12-01,M,58879162748,5,podstawowe
33,Sarah,Miller,2015-09-08,1980-09-16,M,31132118777,2,podstawowe
34,Sandra,Lopez,1999-11-11,1961-11-20,M,84605199323,1,wyzsze
35,Andrew,White,2023-12-31,1992-05-29,F,61411437272,1,wyzsze
36,Matthew,Berg,2010-03-25,1990-03-30,F,27946257893,2,wyzsze
37,Joshua,Phillips,2014-07-15,1986-07-22,M,25677433095,3,wyzsze
38,Judith,Contreras,2023-12-31,1997-09-17,F,38787990675,3,wyzsze
39,Patrick,Castro,2007-12-29,1968-01-08,F,21963826382,2,wyzsze
40,Dennis,Mcbride,2023-12-31,1992-09-07,M,32980507509,5,podstawowe
41,Courtney,Parker,2000-01-20,1960-01-30,F,30004312523,1,srednie
42,Andrew,Anderson,1991-09-20,1959-09-28,M,39948871045,2,wyzsze
43,Rachel,Howe,1983-05-21,1960-05-26,F,90070575699,1,wyzsze
44,Robert,Carter,2002-01-30,1968-02-08,M,18104504677,2,wyzsze
45,Jessica,Lopez,2020-02-05,1980-02-15,M,33277186716,2,wyzsze
46,Janice,Johnson,2023-05-03,2002-05-08,M,90269190816,1,wyzsze
47,Edward,Daniel,2019-08-24,1988-08-31,M,35642504010,1,wyzsze
48,Kelly,Thomas,2023-12-31,2005-02-06,M,48055662994,1,srednie
49,Richard,Garcia,2022-10-14,2000-10-19,M,46231286358,3,wyzsze
50,William,Terry,2023-12-31,1991-10-04,M,83233078919,5,wyzsze
